#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Luk
ApplyButtonText,Anvend
CancelButtonText,Annuller
YesButtonText,Ja
NoButtonText,Nej
OkButtonText,OK
ConnectButtonText,Tilslut
RestoreDefaultsButton,Gendan standarder
SaveAsDefaultsButton,Gem som standarder
ApplyToDevicesButton,Anvend til kameraer
RestoreFactorySettingsButton,Gendan fabriksstandarder
BrowseButtonText,Gennemse...

HourSuffix,time
MinuteSuffix,min.
SecondSuffix,sek.

ByteSuffix,B
BitsPerSecondSuffix,bps

WizardNextText,Næste
WizardPreviousText,Forrige
WizardFinishText,Afslut

UnknownText,Ukendt
NotApplicableText,I/T
UnnamedDeviceString,(Kamara uden navn)
ImagePanelNoLocationText,(ikke specificeret lokation)

ChangeTypeAdd,tilføj
ChangeTypeUpdate,opdater
ChangeTypeDelete,slet
ChangeTypeAll,alle

ProtectedString,beskyttet
UnProtectedString,ubeskyttet

#################################################
# Start Program strings
#################################################

ClientAlreadyRunningMsg,Avigilon Control Center Client kører allerede.
VirtualMatrixAlreadyRunningMsg,Avigilon Control Center Virtual Matrix kører allerede.
InvalidResourceFileError,Der opstod en fejl under indlæsning af systemressourcer.  Kontakt din systemadministrator.
InvalidVideoCardError,Videoacceleration er deaktiveret, og responsen kan være forringet.\n\nKontroller, at dit videokort er understøttet af Control Center Client, og at hardware acceleration er aktiveret i de avancerede indstillinger for visning.
ImageProcessorExceptionError.Player,Der er opstået en fejl under afspilning af billeder.\n\nKontroller, at dit videokort er understøttet af Control Center Player,\nog at hardware acceleration er aktiveret i de avancerede indstillinger for visning.
InvalidVideoCardDontShow,Vis ikke denne meddelelse igen

#################################################
# Main Window strings
#################################################

MainWindowTitle,Avigilon Control Center
MainWindowTitle.Client,Avigilon Control Center Client
MainWindowTitle.Player,Avigilon Control Center Player
MainWindowTitle.VirtualMatrix,Avigilon Control Center Virtual Matrix
MainWindowTitle.AdminPanel,Avigilon Control Center Admin Tool
MainWindowTitle.CameraInstaller,Avigilon Camera Installation Tool

MainWindowTitleWithMajorVersion,Avigilon Control Center %1%
MainWindowTitleWithMajorVersion.Client,Avigilon Control Center %1% Client
MainWindowTitleWithMajorVersion.AdminPanel,Avigilon Control Center %1% Admin Tool

EditionName_enterprise,Enterprise udgave
EditionName_standard,Standard udgave
EditionName_core,Core udgave
EditionName_oem1,Standard udgave
EditionName_oem2,Core udgave

#################################################
# Client Upgrade strings
#################################################

ClientUpgradeTitle,Opdater Avigilon Control Center-klient
ClientUpgradeCaption,En ny version af Avigilon Control Center-klienten er tilgængelig til download fra server %1%.
ClientUpgradeCaptionYes,Opdatering
ClientUpgradeCaptionYesCaption,Updater til version %1%.%2%.%3%.%4%
ClientUpgradeCaptionNo,Opdater ikke
ClientUpgradeCaptionNoCaption,Fortsæt med at bruge version %1%.%2%.%3%.%4%
ClientUpgradeDownloading,Downloader opdatering af Control Center Client...
ClientUpgradeDownloadSucceeded,Download udført
ClientUpgradeDownloadFailed,Download mislykket
ClientUpgradeDownloadCancelled,Download annulleret
ClientUpgradeInstallTitle,Opdater Avigilon Control Center-klient
ClientUpgradeInstallText,Control Center Client genstarterm når installationen er fuldført.
ClientUpgradeIncompatibleWarning,Den nye version af Control Center Client er ikke\ni stand til at forbinde til følgende servere:\n\n%1%\nØnsker du stadig at opgradere Control Center Client?
ClientUpgradeInsufficientPrivilegesWarning,Installationsprogrammet har ikke de korrekte rettigheder til at installere dette program. Installationen kan ikke gennemføres. Log på som administrator, eller kontakt systemadministratoren.

#################################################
# Client Data Upgrade strings
#################################################

ClientDataUpgradeFormTitle,Opdrager klientdata
ClientDataUpgradeFormCaption,Lokal klientkonfigurationsdata fra Avigilon Control Center 4 er blevet fundet. Dette kan omfatte gemte visninger, kort, websider og sitevisningen. Denne data skal føjes til et site, før den kan anvendes.
ClientDataUpgradeButtonUpgrade,Opgrader
ClientDataUpgradeButtonUpgradeText,Opgrader, og tilføj lokal klientdata til et Avigilon Control Center 5 site 
ClientDataUpgradeButtonArchive,Opgrader ikke
ClientDataUpgradeButtonArchiveText,Opgrader ikke data for Avigilon Control Center 4
ClientDataUpgradeButtonLater,Annuller
ClientDataUpgradeButtonLaterText,Behold Avigilon Control Center 4 data, og beslut, hvad der skal gøres ved næste login

ClientDataUpgradeSiteSelectionFormCaption,Vælg, hvor de lokale klientdata skal tilføjes:
ClientDataUpgradeSiteSelectionFormSelectAll,Vælg/fravælg alle
ClientDataUpgradeSiteSelectionFormButtonUpgrade,Opgrader
ClientDataUpgradeSiteSelectionFormButtonCancel,Annuller

ClientDataUpgradeSuccess,Opgraderingen er gennemført
ClientDataUpgradeTransportError,Der opstod en fejl under kommunikation med sitet
ClientDataUpgradeAccessDenied,Brugeren har ikke tilladelse til at føje klientdata til et site
ClientDataUpgradeInternalError,Der er opstået en intern fejl under opgradering af klientdata
ClientDataUpgradeResultFormButtonRetry,Prøv igen


#################################################
# Log In strings
#################################################

LoginTitle,Sitelogon
LoginMultiServerLabel,Log ind på:
LoginAllComboItem,Alle servere
LoginUserLabel,Brugernavn:
LoginPasswordLabel,Adgangskode:
LoginCurrentCredentials,Brug aktuelle Windows legitimationsoplysninger
LoginNoServerButtonText,Find site...
LoginButtonLabel,Log ind
LoginErrorMessage,Brugernavn eller adgangskode er ikke korrekt på server %1%.
LoginMaxClientsMessage,Det maksimale antal samtidige client-forbindelser er nået for server %1%.
LoginLanguageLabel,Sprog
LoginFailedValidateOsCreds,Server %1% kunne ikke godkende den bruger, der aktuelt er logget ind på Client.
LoginNoServerMessage,Der er ingen server tilgængelig for log ind.
LoginServerLabel,Log ind på %1%
LoginOsUserDisabledMessage,Denne bruger er blevet deaktiveret på server %1%.
LoginUserDisabledMessage,Bruger '%1%' er blevet deaktiveret på server %2%.
LoginUserNotFound,Brugernavn eller adgangskode er ikke korrekt på server %1%.
LoginUnknownErrorMessage,Der opstod en kommunikationsfejl under forsøg på at logge ind på server %1%.
LoginInternalErrorMessage,Der opstod en kommunikationsfejl under forsøg på at logge ind på server %1%.
LoginSslErrorMessage,Der opstod en kommunikationsfejl under forsøg på at logge ind på server %1%.\nClient SSL certifikatet kan være ugyldigt.
LoginServerClassConflict,Sitene har forskellige licensudgaver. \nDu kan ikke logge ind på begge sites på samme tid.
LoginServerVendorIdConflict,Kan ikke logge ind på servere fra forskellige leverandører på samme tid.
LoginServerMaxServersConflict,Det maksimale antal samtidige forbindelser for denne client er nået.
LoginLicenseViolation,Licensen på site %1% tillader ikke login fra dette program.
LoginAlreadyAuthenticatedMessage,Control Center Client blev uventet lukket ned, ved sidste forbindelse til server %1%.\nVent et minut, før du logger ind igen.
LoginWaitText,Logger ind...
LogInCommandText,Log ind...
LogInCommandToolTip,Log ind på servere
SystemExplorerLogIn,Log ind...

PasswordEmptyErrorText,En adgangskode er påkrævet.
PasswordExpiredMessage,Din adgangskode til %1% er udløbet.  Indtast en ny adgangskode.
PasswordExpiredSameMessage,En gammel adgangskode kan ikke genbruges.  Indtast en ny adgangskode.
PasswordMismatchErrorText,Adgangskoden matcher ikke.  Prøv igen.
PasswordEmptyWarning,Adgangskoden er tom. Vil du fortsætte?

ForcedLogoutFormDescription,Det maksimale antal client-forbindelser er nået. Vælg en bruger, der skal afbrydes, så du kan koggen ind:
ForcedLogoutFormUserNameColumn,Brugernavn
ForcedLogoutFormComputerNameColumn,Computernavn
ForcedLogoutFormLoginTime,Login tid
ForcedLogoutFormNoSectionError,Der skal vælges en bruger.
ForcedLogoutNotification,Du er blevet logget ud fra '%1%' af '%2%'
ForcedLogoutAccessDenied,'%1%' ud af '%2%' blev ikke logget
ForcedLogoutFailure,Der opstod en fejl under forsøg på at logge '%1%' ud af '%2%'

LoginNotifyNewConnections,Giv mig besked, når der er ekstra sites tilgængelige
LoginShowPanelOnStartup,Vis denne fane ved start
LoginSaveSettingsButtonText,Gem ændringer
LoginSaveSettingsPrompt,Vil du gemme ændringer af logonindstillingerne?
LoginButtonLabelConnect,Log ind
LoginSettingsSavedText,Indstillinger for sitelogon blev gemt
LoginPageTitle,Sitelogon
LoginTooltipSiteUnavailable,Sitet er ikke tilgængeligt
LoginTooltipSiteConnected,Forbindelse til site
LoginTooltipSiteAvailable,Sitet er tilgængeligt
LoginSearchTextHint,Søg...
LoginTooltipSiteConnecting,Opretter forbindelse til sitet...
LoginSelectLoginServerTitle,Vælg en server
LoginSelectSiteHint,Vælg et eller flere sites for at logge ind.
LoginNoAvailableSitesHint,Der er ingen sites tilgængelige i øjeblikket.

#################################################
# Log Out strings
#################################################

LogOutCommandText,Log ud
LogOutCommandToolTip,Log ud
LogOutPromptCaption,Log ud
