#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,סגור
ApplyButtonText,החל
CancelButtonText,ביטול
YesButtonText,כן
NoButtonText,לא
OkButtonText,אישור
ConnectButtonText,התחבר
RestoreDefaultsButton,שחזר ערכי ברירת מחדל
SaveAsDefaultsButton,שמור כהגדרות ברירת מחדל
ApplyToDevicesButton,החלה על מצלמות...
RestoreFactorySettingsButton,שחזר הגדרות יצרן
BrowseButtonText,עיין...

HourSuffix,שעה
MinuteSuffix,דקות
SecondSuffix,שניות

ByteSuffix,B
BitsPerSecondSuffix,bps

WizardNextText,הבא
WizardPreviousText,הקודם
WizardFinishText,סיום

UnknownText,לא ידוע
NotApplicableText,לא ישים
UnnamedDeviceString,(מצלמה ללא שם)
ImagePanelNoLocationText,(מיקום לא צוין)

ChangeTypeAdd,הוספה
ChangeTypeUpdate,עדכן
ChangeTypeDelete,מחק
ChangeTypeAll,הכל

ProtectedString,מוגן
UnProtectedString,לא מוגן

#################################################
# Start Program strings
#################################################

ClientAlreadyRunningMsg,Avigilon Control Center Client פועל כבר.
VirtualMatrixAlreadyRunningMsg,Avigilon Control Center Virtual Matrix פועל כבר.
InvalidResourceFileError,אירעה שגיאה בעת טעינת משאבי המערכת.  פנה למנהל המערכת.
InvalidVideoCardError,האצת וידאו מושבתת וייתכן שתהיה פגיעה בהיענות.\n\nודא ש-Control Center Client תומך בכרטיס הווידאו שלך ושהאצת החומרה מופעלת בהגדרות המתקדמות של התצוגה.
ImageProcessorExceptionError.Player,אירעה שגיאה בעת הצגת התמונות.\n\nודא ש-Control Center Player תומך בכרטיס הווידאו שלך,\nושהאצת החומרה מופעלת בהגדרות המתקדמות של התצוגה.
InvalidVideoCardDontShow,אל תציג הודעה זו שוב

#################################################
# Main Window strings
#################################################

MainWindowTitle,Avigilon Control Center
MainWindowTitle.Client,Avigilon Control Center Client
MainWindowTitle.Player,Avigilon Control Center Player
MainWindowTitle.VirtualMatrix,Avigilon Control Center Virtual Matrix
MainWindowTitle.AdminPanel,Avigilon Control Center Admin Tool
MainWindowTitle.CameraInstaller,Avigilon Camera Installation Tool

MainWindowTitleWithMajorVersion,Avigilon Control Center %1%
MainWindowTitleWithMajorVersion.Client,Avigilon Control Center %1% Client
MainWindowTitleWithMajorVersion.AdminPanel,Avigilon Control Center %1% Admin Tool

EditionName_enterprise,מהדורה Enterprise
EditionName_standard,מהדורה Standard
EditionName_core,מהדורה Core
EditionName_oem1,מהדורה Standard
EditionName_oem2,מהדורה Core

#################################################
# Client Upgrade strings
#################################################

ClientUpgradeTitle,עדכון של Avigilon Control Center Client
ClientUpgradeCaption,גרסה חדשה של Avigilon Control Center Client זמינה להורדה משרת %1%.
ClientUpgradeCaptionYes,עדכון
ClientUpgradeCaptionYesCaption,עדכן לגרסה %1%.%2%.%3%.%4%
ClientUpgradeCaptionNo,אל תעדכן
ClientUpgradeCaptionNoCaption,המשך להשתמש בגרסה %1%.%2%.%3%.%4%
ClientUpgradeDownloading,מוריד עדכון של Control Center Client...
ClientUpgradeDownloadSucceeded,ההורדה הצליחה
ClientUpgradeDownloadFailed,ההורדה נכשלה
ClientUpgradeDownloadCancelled,ההורדה בוטלה
ClientUpgradeInstallTitle,עדכון של Avigilon Control Center Client
ClientUpgradeInstallText,Control Center Client יופעל מחדש לאחר השלמת ההתקנה.
ClientUpgradeIncompatibleWarning,הגרסה החדשה של Control Center Client לא\nתוכל להתחבר לשרתים הבאים:\n\n%1%\nהאם עדיין ברצונך לשדרג את Control Center Client?
ClientUpgradeInsufficientPrivilegesWarning,למתקין אין הרשאות מספיקות להתקנת תוכנית זו. ההתקנה אינה יכולה להמשיך. היכנס כמנהל מערכת או פנה אל מנהל המערכת.

#################################################
# Client Data Upgrade strings
#################################################

ClientDataUpgradeFormTitle,שדרוג נתוני לקוח
ClientDataUpgradeFormCaption,נמצאו נתוני תצורת לקוח מקומיים מ-Avigilon Control Center 4. אלה עשויים לכלול תצוגות שנשמרו, מפות, דפי אינטרנט ותצוגת האתר. יש להוסיף נתונים אלה לאתר לפני שניתן יהיה להשתמש בהם.
ClientDataUpgradeButtonUpgrade,שדרג
ClientDataUpgradeButtonUpgradeText,שדרג והוסף נתוני לקוח מקומיים לאתר Avigilon Control Center 5 
ClientDataUpgradeButtonArchive,אל תשדרג
ClientDataUpgradeButtonArchiveText,אל תשדרג את נתוני Avigilon Control Center 4
ClientDataUpgradeButtonLater,ביטול
ClientDataUpgradeButtonLaterText,השאר את נתוני Avigilon Control Center 4 והחלט מה לעשות בכניסה הבאה

ClientDataUpgradeSiteSelectionFormCaption,בחר היכן להוסיף את נתוני הלקוח המקומיים:
ClientDataUpgradeSiteSelectionFormSelectAll,בחר/בטל בחירת הכל
ClientDataUpgradeSiteSelectionFormButtonUpgrade,שדרג
ClientDataUpgradeSiteSelectionFormButtonCancel,ביטול

ClientDataUpgradeSuccess,השדרוג עבר בהצלחה
ClientDataUpgradeTransportError,אירעה שגיאה בעת תקשורת עם האתר
ClientDataUpgradeAccessDenied,למשתמש אין הרשאה להוסיף את נתוני הלקוח לאתר
ClientDataUpgradeInternalError,אירעה שגיאה פנימית במהלך שדרוג נתוני לקוח
ClientDataUpgradeResultFormButtonRetry,נסה שוב


#################################################
# Log In strings
#################################################

LoginTitle,כניסה לאתר
LoginMultiServerLabel,היכנס אל:‎
LoginAllComboItem,כל האתרים
LoginUserLabel,שם משתמש:
LoginPasswordLabel,סיסמה:
LoginCurrentCredentials,השתמש באישורים הנוכחיים של Windows
LoginNoServerButtonText,חיפוש אתר...
LoginButtonLabel,כניסה
LoginErrorMessage,שם המשתמש או הסיסמה שגויים באתר %1%.
LoginMaxClientsMessage,האתר %1% הגיע למספר המרבי של חיבורי לקוחות בו-זמנית.
LoginLanguageLabel,שפה
LoginFailedValidateOsCreds,האתר %1% לא הצליח לאמת את המשתמש שביצע כניסה אל Client.
LoginNoServerMessage,אין אתרים זמינים שניתן להיכנס אליהם.
LoginServerLabel,היכנס אל %1%
LoginOsUserDisabledMessage,משתמש זה הושבת באתר %1%.
LoginUserDisabledMessage,המשתמש '%1%' הושבת באתר %2%.
LoginUserNotFound,שם המשתמש או הסיסמה שגויים באתר %1%.
LoginUnknownErrorMessage,אירעה שגיאת תקשורת בעת ניסיון להיכנס לאתר %1%.
LoginInternalErrorMessage,אירעה שגיאה פנימית בעת ניסיון להיכנס לאתר %1%.
LoginSslErrorMessage,אירעה שגיאת תקשורת בעת ניסיון להיכנס לאתר %1%.\nייתכן שאישור ה-SSL של הלקוח אינו חוקי.
LoginServerClassConflict,מהדורות הרישיון של האתרים שונות. \nאינך יכול להיכנס לשני האתרים בו-זמנית.
LoginServerVendorIdConflict,לא ניתן להיכנס לאתרים מספקים שונים בו-זמנית.
LoginServerMaxServersConflict,לקוח זה הגיע למספר המרבי של חיבורים בו-זמניים.
LoginLicenseViolation,מהדורת הרישיון באתר %1% אינה מתירה כניסה מיישום זה.
LoginAlreadyAuthenticatedMessage,Control Center Client נסגר באופן לא צפוי בפעם האחרונה שהתחבר לאתר %1%.\nהמתן רגע לפני שתיכנס שוב.
LoginWaitText,מבצע כניסה...
LogInCommandText,כניסה...
LogInCommandToolTip,כניסה לאתרים
SystemExplorerLogIn,כניסה...

PasswordEmptyErrorText,יש לציין סיסמה.
PasswordExpiredMessage,תוקף הסיסמה שלך ב-%1% פג.  הזן סיסמה חדשה.
PasswordExpiredSameMessage,לא ניתן להשתמש שוב בסיסמה ישנה.  הזן סיסמה חדשה.
PasswordMismatchErrorText,הסיסמאות אינן תואמות.  נסה שוב.
PasswordEmptyWarning,הסיסמה ריקה. להמשיך?

ForcedLogoutFormDescription,המערכת הגיעה למספר חיבורי הלקוחות המרבי. בחר משתמש לניתוק כדי שתוכל להיכנס:
ForcedLogoutFormUserNameColumn,שם משתמש
ForcedLogoutFormComputerNameColumn,שם מחשב
ForcedLogoutFormLoginTime,שעת כניסה
ForcedLogoutFormNoSectionError,יש לבחור משתמש.
ForcedLogoutNotification,%2% הוציא אותך מ-'%1%'
ForcedLogoutAccessDenied,לא ניתן לרשום '%1%' מתוך '%2%'
ForcedLogoutFailure,אירעה שגיאה בעת הניסיון לרשום '%1%' מתוך '%2%'

LoginNotifyNewConnections,עדכן אותי כשאתרים נוספים נעשים זמינים
LoginShowPanelOnStartup,הצג כרטיסייה זו בהפעלה
LoginSaveSettingsButtonText,שמור הגדרת
LoginSaveSettingsPrompt,לשמור את השינויים בהגדרות הכניסה?
LoginButtonLabelConnect,כניסה
LoginSettingsSavedText,השינויים בהגדרות הכניסה נשמרו
LoginPageTitle,כניסה לאתר
LoginTooltipSiteUnavailable,האתר אינו זמין
LoginTooltipSiteConnected,האתר מחובר
LoginTooltipSiteAvailable,האתר זמין
LoginSearchTextHint,חיפוש...
LoginTooltipSiteConnecting,מתחבר לאתר...
LoginSelectLoginServerTitle,בחר שרת
LoginSelectSiteHint,בחר אתר אחד או יותר לביצוע כניסה.
LoginNoAvailableSitesHint,אין אתרים זמינים כרגע.

#################################################
# Log Out strings
#################################################

LogOutCommandText,יציאה מהמערכת
LogOutCommandToolTip,יציאה מהמערכת
LogOutPromptCaption,יציאה מהמערכת
LogOutPromptText,לצאת מכל האתרים?
LogOutSinglePromptText,לצאת מ-%1%?
SystemExplorerLogOut,יציאה מהמערכת

#################################################
# Virtual Matrix strings
#################################################

