#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Bezárás
ApplyButtonText,Alkalmaz
CancelButtonText,Mégse
YesButtonText,Igen
NoButtonText,Nem
OkButtonText,OK
ConnectButtonText,Csatlakoztatás
RestoreDefaultsButton,Alapértékek visszaállítása
SaveAsDefaultsButton,Mentés alapértelmezettként
ApplyToDevicesButton,Alkalmazás a kamerákhoz...
RestoreFactorySettingsButton,Gyári alapértelmezett beállítások visszaállítása
BrowseButtonText,Tallózás...

HourSuffix,óra
MinuteSuffix,perc
SecondSuffix,mp

ByteSuffix,B
BitsPerSecondSuffix,b/s

WizardNextText,Következő
WizardPreviousText,Előző
WizardFinishText,Befejezés

UnknownText,Ismeretlen
NotApplicableText,N/A
UnnamedDeviceString,(Névtelen kamera)
ImagePanelNoLocationText,(meghatározatlan hely)

ChangeTypeAdd,hozzáadás
ChangeTypeUpdate,frissítés
ChangeTypeDelete,törlés
ChangeTypeAll,mind

ProtectedString,védett
UnProtectedString,nem védett

#################################################
# Start Program strings
#################################################

ClientAlreadyRunningMsg,Az Avigilon Control Center Client már fut.
VirtualMatrixAlreadyRunningMsg,Az Avigilon Control Center Virtual Matrix már fut.
InvalidResourceFileError,Hiba történt a rendszer erőforrásainak betöltése során.  Forduljon a rendszergazdához.
InvalidVideoCardError,A Videogyorsítás le van tiltva, ezért a válaszképesség csökkenhet.\n\nGyőződjön meg arról, hogy a Control Center Client támogatja a videokártyát, és a Hardvergyorsítás engedélyezve van a Kijelző speciális beállításai ablakban.
ImageProcessorExceptionError.Player,Hiba történt a képek megjelenítése során.\n\nGyőződjön meg róla, hogy a Control Center Player\ntámogatja a videokártyát és a Hardvergyorsítás engedélyezve van a Kijelző speciális beállításai ablakban.
InvalidVideoCardDontShow,Ez az üzenet többé ne jelenjen meg

#################################################
# Main Window strings
#################################################

MainWindowTitle,Avigilon Control Center
MainWindowTitle.Client,Avigilon Control Center Client
MainWindowTitle.Player,Avigilon Control Center Player
MainWindowTitle.VirtualMatrix,Avigilon Control Center Virtual Matrix
MainWindowTitle.AdminPanel,Avigilon Control Center Adminisztrátori eszköz
MainWindowTitle.CameraInstaller,Avigilon Camera Installation Tool

MainWindowTitleWithMajorVersion,Avigilon Control Center %1%
MainWindowTitleWithMajorVersion.Client,Avigilon Control Center %1% Client
MainWindowTitleWithMajorVersion.AdminPanel,Avigilon Control Center %1% Adminisztrátori eszköz

EditionName_enterprise,Enterprise Edition
EditionName_standard,Standard Edition
EditionName_core,Core Edition
EditionName_oem1,Standard Edition
EditionName_oem2,Core Edition

#################################################
# Client Upgrade strings
#################################################

ClientUpgradeTitle,Az Avigilon Control Center Client frissítése
ClientUpgradeCaption,Az Avigilon Control Center Client új verziója letölthető a(z) %1% kiszolgálóról.
ClientUpgradeCaptionYes,Frissítés
ClientUpgradeCaptionYesCaption,Frissítés a következő verzióra: %1%.%2%.%3%.%4%
ClientUpgradeCaptionNo,Ne frissítsen
ClientUpgradeCaptionNoCaption,Továbbra is használja a következő verziót: %1%.%2%.%3%.%4%
ClientUpgradeDownloading,Control Center Client frissítésének letöltése...
ClientUpgradeDownloadSucceeded,A letöltés sikeres
ClientUpgradeDownloadFailed,A letöltés sikertelen
ClientUpgradeDownloadCancelled,A letöltés megszakadt
ClientUpgradeInstallTitle,Az Avigilon Control Center Client frissítése
ClientUpgradeInstallText,A telepítés befejeződése után a Control Center Client újraindul.
ClientUpgradeIncompatibleWarning,A Control Center Client új verziója nem fog\ntudni csatlakozni a következő kiszolgálókhoz:\n\n%1%\nMégis szeretné elvégezni a Control Center Client frissítését?
