#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Sluiten
ApplyButtonText,Toepassen
CancelButtonText,Annuleren
YesButtonText,Ja
NoButtonText,Nee
OkButtonText,OK
ConnectButtonText,Verbinding maken
RestoreDefaultsButton,Standaardinstellingen herstellen
SaveAsDefaultsButton,Opslaan als standaardinstelling
ApplyToDevicesButton,Op camera's toepassen...
RestoreFactorySettingsButton,Fabrieksinstelling herstellen
BrowseButtonText,Bladeren ...

HourSuffix,uur
MinuteSuffix,min
SecondSuffix,sec

ByteSuffix,B
BitsPerSecondSuffix,bps

WizardNextText,Volgende
WizardPreviousText,Vorige
WizardFinishText,Voltooien

UnknownText,Onbekend
NotApplicableText,N.v.t.
UnnamedDeviceString,(Onbekende camera)
ImagePanelNoLocationText,(onbekende locatie)

ChangeTypeAdd,toevoegen
ChangeTypeUpdate,bijwerken
ChangeTypeDelete,verwijderen
ChangeTypeAll,alle

ProtectedString,beschermd
UnProtectedString,onbeschermd

#################################################
# Start Program strings
#################################################

ClientAlreadyRunningMsg,Avigilon Control Center Client wordt al uitgevoerd.
VirtualMatrixAlreadyRunningMsg,Avigilon Control Center Virtual Matrix wordt al uitgevoerd.
InvalidResourceFileError,Er is een fout opgetreden tijden het laden van systeembronnen.  Neem contact op met uw systeembeheerder.
InvalidVideoCardError,Videoversnelling is uitgeschakeld en de reactietijd kan slechter zijn.\n\nControleer of uw videokaart ondersteund wordt door Control Center Client en dat de hardwareversnelling is ingeschakeld in de geavanceerde weergave-instellingen.
ImageProcessorExceptionError.Player,Er is een fout opgetreden bij het weergeven van beelden.\n\nControleer of uw videokaart ondersteund wordt door Control Center Player \nen of de hardwareversnelling is ingeschakeld in de geavanceerde weergave-instellingen.
InvalidVideoCardDontShow,Dit bericht niet meer weergeven

#################################################
# Main Window strings
#################################################

MainWindowTitle,Avigilon Control Center
MainWindowTitle.Client,Avigilon Control Center Client
MainWindowTitle.Player,Avigilon Control Center Player
MainWindowTitle.VirtualMatrix,Avigilon Control Center Virtual Matrix
MainWindowTitle.AdminPanel,Avigilon Control Center Admin Tool
MainWindowTitle.CameraInstaller,Avigilon Camera Installation Tool

MainWindowTitleWithMajorVersion,Avigilon Control Center %1%
MainWindowTitleWithMajorVersion.Client,Avigilon Control Center %1% Client
MainWindowTitleWithMajorVersion.AdminPanel,Avigilon Control Center %1% Admin Tool

EditionName_enterprise,Enterprise-editie
EditionName_standard,Standard-editie
EditionName_core,Core-editie
EditionName_oem1,Standard-editie
EditionName_oem2,Core-editie

#################################################
# Client Upgrade strings
#################################################

ClientUpgradeTitle,Avigilon Control Center Client bijwerken
ClientUpgradeCaption,Er is een nieuwe versie van Avigilon Control Center Client beschikbaar om te downloaden op server %1%.
ClientUpgradeCaptionYes,Bijwerken
ClientUpgradeCaptionYesCaption,Bijwerken naar versie %1%.%2%.%3%.%4%
ClientUpgradeCaptionNo,Niet bijwerken
ClientUpgradeCaptionNoCaption,Versie %1%.%2%.%3%.%4% blijven gebruiken
ClientUpgradeDownloading,Bezig met update downloaden van Control Center Client...
ClientUpgradeDownloadSucceeded,Downloaden is geslaagd
ClientUpgradeDownloadFailed,Downloaden is mislukt
ClientUpgradeDownloadCancelled,Downloaden is geannuleerd
ClientUpgradeInstallTitle,Avigilon Control Center Client bijwerken
ClientUpgradeInstallText,Control Center Client wordt opnieuw opgestart zodra de installatie is voltooid.
ClientUpgradeIncompatibleWarning,De nieuwe versie van Control Center Client kan\ngeen verbinding maken met de volgende servers:\n\n%1%\nWilt u Control Center Client nog steeds bijwerken?
ClientUpgradeInsufficientPrivilegesWarning,Het installatieprogramma heeft onvoldoende rechten om dit programma te installeren. De installatie kan niet doorgaan. Meld u aan als beheerder of neemt contact op met uw systeembeheerder.

