#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Lukk
ApplyButtonText,Bruk
CancelButtonText,Avbryt
YesButtonText,Ja
NoButtonText,Nei
OkButtonText,OK
ConnectButtonText,Koble til
RestoreDefaultsButton,Gjenopprett standarder
SaveAsDefaultsButton,Lagre som standard
ApplyToDevicesButton,Bruk på kameraer...
RestoreFactorySettingsButton,Gjenopprett fabrikkinnstillinger
BrowseButtonText,Bla gjennom...

HourSuffix,time
MinuteSuffix,min
SecondSuffix,sek

ByteSuffix,B
BitsPerSecondSuffix,bps

WizardNextText,Neste
WizardPreviousText,Forrige
WizardFinishText,Fullfør

UnknownText,Ukjent
NotApplicableText,Ikke relevant
UnnamedDeviceString,(Kamera uten navn)
ImagePanelNoLocationText,(uspesifisert plassering)

ChangeTypeAdd,legg til
ChangeTypeUpdate,oppdater
ChangeTypeDelete,slett
ChangeTypeAll,alle

ProtectedString,beskyttet
UnProtectedString,ubeskyttet

#################################################
# Start Program strings
#################################################

ClientAlreadyRunningMsg,Avigilon Control Center Client kjører allerede.
VirtualMatrixAlreadyRunningMsg,Avigilon Control Center Virtual Matrix kjører allerede.
InvalidResourceFileError,Det oppstod en feil under lasting av systemressurser.  Kontakt systemadministratoren.
InvalidVideoCardError,Videoakselerasjon er deaktivert og responshastigheten kan være lavere.\n\nKontroller at skjermkortet støttes av Control Center Client og at Maskinvareakselerasjon er aktivert i skjermens avanserte innstillinger.
ImageProcessorExceptionError.Player,Det oppstod en feil under visning av bilder.\n\nKontroller at skjermkortet støttes av Control Center Player\nog at Maskinvareakselerasjon er aktivert i skjermens avanserte innstillinger.
InvalidVideoCardDontShow,Ikke vis denne meldingen igjen

#################################################
# Main Window strings
#################################################

MainWindowTitle,Avigilon Control Center
MainWindowTitle.Client,Avigilon Control Center Client
MainWindowTitle.Player,Avigilon Control Center Player
MainWindowTitle.VirtualMatrix,Avigilon Control Center Virtual Matrix
MainWindowTitle.AdminPanel,Avigilon Control Center Admin Tool
MainWindowTitle.CameraInstaller,Installeringsverktøy for Avigilon-kamera

MainWindowTitleWithMajorVersion,Avigilon Control Center %1%
MainWindowTitleWithMajorVersion.Client,Avigilon Control Center %1% Client
MainWindowTitleWithMajorVersion.AdminPanel,Avigilon Control Center %1% Admin Tool

EditionName_enterprise,Enterprise Edition
EditionName_standard,Standard Edition
EditionName_core,Core Edition
EditionName_oem1,Standard Edition
EditionName_oem2,Core Edition

#################################################
# Client Upgrade strings
#################################################

ClientUpgradeTitle,Oppdater Avigilon Control Center Client
ClientUpgradeCaption,En ny versjon av Avigilon Control Center Client er tilgjengelig for nedlasting fra server %1%.
ClientUpgradeCaptionYes,Oppdater
ClientUpgradeCaptionYesCaption,Oppdater til versjon %1%.%2%.%3%.%4%
ClientUpgradeCaptionNo,Ikke oppdater
ClientUpgradeCaptionNoCaption,Fortsett å bruke versjon %1%.%2%.%3%.%4%
ClientUpgradeDownloading,Laster ned Control Center Client-oppdatering...
ClientUpgradeDownloadSucceeded,Nedlasting vellykket
ClientUpgradeDownloadFailed,Nedlasting mislyktes
ClientUpgradeDownloadCancelled,Nedlasting avbrutt
ClientUpgradeInstallTitle,Oppdater Avigilon Control Center Client
ClientUpgradeInstallText,Control Center Client vil omstarte straks installeringen er fullført.
ClientUpgradeIncompatibleWarning,Den nye versjonen av Control Center Client vil ikke\nkunne koble til følgende servere:\n\n%1%\nVil du likevel oppgradere Control Center Client?
ClientUpgradeInsufficientPrivilegesWarning,Installereren hadde ikke rettigheter til å installere programmet. Installeringen kan ikke fortsette. Logg deg på som administrator eller kontakt systemadministratoren.

#################################################
# Client Data Upgrade strings
#################################################

ClientDataUpgradeFormTitle,Oppgrader klientdata
ClientDataUpgradeFormCaption,Lokale klientkonfigurasjonsdata fra Avigilon Control Center 4 er funnet. Dette kan omfatte lagrede visninger, kart, nettsider og stedsvisningen. Disse dataene må legges til et sted før det kan brukes.
ClientDataUpgradeButtonUpgrade,Oppgrader
ClientDataUpgradeButtonUpgradeText,Oppgrader og legg til lokale klientdata på et Avigilon Control Center 5-sted 
ClientDataUpgradeButtonArchive,Ikke oppgrader
ClientDataUpgradeButtonArchiveText,Ikke oppgrader Avigilon Control Center 4-data
ClientDataUpgradeButtonLater,Avbryt
ClientDataUpgradeButtonLaterText,Behold Avigilon Control Center 4-data og avgjør hva som skal gjøres ved neste pålogging

ClientDataUpgradeSiteSelectionFormCaption,Velg hvor de lokale klientdataene skal legges til:
ClientDataUpgradeSiteSelectionFormSelectAll,Merk alle / opphev valg
ClientDataUpgradeSiteSelectionFormButtonUpgrade,Oppgrader
ClientDataUpgradeSiteSelectionFormButtonCancel,Avbryt

ClientDataUpgradeSuccess,Oppgradering vellykket
ClientDataUpgradeTransportError,Det oppstod en feil under kommunikasjon med stedet
ClientDataUpgradeAccessDenied,Brukeren har ikke tillatelse til å legge klientdata til stedet
ClientDataUpgradeInternalError,Det oppstod en intern feil under oppgradering av klientdata
ClientDataUpgradeResultFormButtonRetry,Prøv igjen


#################################################
# Log In strings
#################################################

LoginTitle,Stedspålogging
LoginMultiServerLabel,Logg på:
LoginAllComboItem,Alle steder
LoginUserLabel,Brukernavn:
LoginPasswordLabel,Passord:
LoginCurrentCredentials,Bruk gjeldende Windows-legitimasjon
LoginNoServerButtonText,Finn sted...
LoginButtonLabel,Logg på
LoginErrorMessage,Brukernavn eller passord er feil på sted %1%.
LoginMaxClientsMessage,Maksimalt antall samtidige klienttilkoblinger er nådd for sted %1%.
LoginLanguageLabel,Språk
LoginFailedValidateOsCreds,Sted %1% kunne ikke validere klientens påloggede bruker.
LoginNoServerMessage,Ingen steder tilgjengelig for pålogging.
LoginServerLabel,Logg på %1%
LoginOsUserDisabledMessage,Denne brukeren har blitt deaktivert på sted %1%.
LoginUserDisabledMessage,Bruker "%1%" har blitt deaktivert på sted %2%.
LoginUserNotFound,Brukernavn eller passord er feil på sted %1%.
LoginUnknownErrorMessage,Det oppstod en kommunikasjonsfeil under forsøk på å logge på sted %1%.
LoginInternalErrorMessage,Det oppstod en intern feil under forsøk på å logge på sted %1%.
LoginSslErrorMessage,Det oppstod en kommunikasjonsfeil ved forsøk på å logge på sted %1%.\nKlientens SSL-sertifikat kan være ugyldig.
LoginServerClassConflict,Stedene har forskjellige lisensversjoner. \nDu kan ikke logge på begge stedene samtidig.
LoginServerVendorIdConflict,Kan ikke logge på steder fra forskjellige leverandører samtidig.
LoginServerMaxServersConflict,Maksimalt antall samtidige tilkoblinger for denne klienten er nådd.
LoginLicenseViolation,Lisensversjonen på sted %1% tillater ikke pålogging fra dette programmet.
LoginAlreadyAuthenticatedMessage,Control Center Client avsluttet uventet da den sist var koblet til sted %1%.\nVent et minutt før du logger på igjen.
LoginWaitText,Logger på...
LogInCommandText,Logg på...
LogInCommandToolTip,Logg på steder
SystemExplorerLogIn,Logg på...

PasswordEmptyErrorText,Det må oppgis passord.
PasswordExpiredMessage,Passordet på %1% er utløpt.  Oppgi et nytt passord.
PasswordExpiredSameMessage,Et gammelt passord kan ikke brukes på nytt.  Oppgi et nytt passord.
PasswordMismatchErrorText,Passordene stemmer ikke overens.  Prøv igjen.
PasswordEmptyWarning,Passord er tomt. Fortsette?

ForcedLogoutFormDescription,Maksimalt antall klienttilkoblinger er nådd. Velg en bruker som kan kobles fra slik at du kan logge på:
ForcedLogoutFormUserNameColumn,Brukernavn
ForcedLogoutFormComputerNameColumn,Datamaskinnavn
ForcedLogoutFormLoginTime,Påloggingstid
ForcedLogoutFormNoSectionError,En bruker må velges.
ForcedLogoutNotification,Du har blitt logget av "%1%" av %2%
ForcedLogoutAccessDenied,Kan ikke logge "%1%" av "%2%"
ForcedLogoutFailure,Det oppstod en feil under forsøk på å logge "%1%" av "%2%"

LoginNotifyNewConnections,Varsle meg når flere steder blir tilgjengelig
LoginShowPanelOnStartup,Vis denne fanen ved oppstart
LoginSaveSettingsButtonText,Lagre innstillinger
LoginSaveSettingsPrompt,Lagre endringer i påloggingsinnstillinger?
LoginButtonLabelConnect,Logg på
LoginSettingsSavedText,Innstillinger for stedspålogging lagret
LoginPageTitle,Stedspålogging
LoginTooltipSiteUnavailable,Sted utilgjengelig
LoginTooltipSiteConnected,Sted tilkoblet
LoginTooltipSiteAvailable,Sted tilgjengelig
LoginSearchTextHint,Søk...
LoginTooltipSiteConnecting,Kobler til sted...
LoginSelectLoginServerTitle,Velg en server
LoginSelectSiteHint,Velg ett eller flere steder til venstre for å logge på.
LoginNoAvailableSitesHint,Ingen steder er tilgjengelig nå.

#################################################
# Log Out strings
#################################################

LogOutCommandText,Logg av
LogOutCommandToolTip,Logg av
LogOutPromptCaption,Logg av
LogOutPromptText,Logge av alle steder?
LogOutSinglePromptText,Logge av %1%?
SystemExplorerLogOut,Logg av

#################################################
# Virtual Matrix strings
#################################################

CurrentMonitorName,Monitornavn
CurrentMonitorLogicalId,Logisk ID for monitor
UpdateMonitorButton,Oppdater
CreateNewMonitor,Legg til monitor
CloseThisMonitor,Fjern monitor
CloseThisMonitorQueryText,Er du sikker på at du vil fjerne denne monitoren fra stedet?
ExitApplication,Avslutt program
LogicalIdNotAvailable,Den logiske IDen %1% brukes allerede av en annen lagret visning eller monitor.
IllegalLogicalId,Verdien %1% er ikke en gyldig logisk ID-verdi.
LogicalIdNotSet,Ikke angitt
LogToAnotherCluster,Endre sted/bruker
MonitorSettings,Monitorinnstillinger
CurrentCluster,Gjeldende sted
PrimaryCluster,Primært sted
AdditionalClusters,Tilleggssteder
SiteInfo,Stedsinformasjon
HelpLink,Hjelp
NoOtherClustersToLoginTo,Det er ingen andre steder å logge på.
VerifyClusterLogout,Du vil bli logget av gjeldende sted. Fortsette?
NotLoggedToAnyCluster,Du er i øyeblikket ikke logget på noe sted.
VMASiteSettingsClusterStatusConnected,Tilkoblet
VMASiteSettingsClusterStatusUnavailable,Utilgjengelig
VMASiteSettingsClusterStatusAuthenticationFailed,Pålogging mislyktes
VMASiteSettingsSiteListSiteHeader,Steder
VMASiteSettingsSiteListStatusHeader,Status
VMASiteSettingsAddSiteCommand,Legg til sted
VMASiteSettingsRemoveSiteCommand,Fjern sted

#################################################
# Server Management Form Strings
#################################################

ServerMgmtDialogTitle,Finn sted
ServerMgmtAddText,Finn sted...
ServerMgmtForgetClusterText,Glem sted
ServerMgmtIpAddressLabel,IP-adresse/vertsnavn:
ServerMgmtPortLabel,Baseport:
ServerMgmtConnectionTypeLAN,LAN
ServerMgmtConnectionTypeWAN,WAN
ServerAddInvalidIpAddressError,Gitt IP-adresse er ugyldig.
ServerAddErrorAlreadyExists,Stedet på den angitte IP-adressen er allerede lagt til i systemet.
ServerForgetGeneralError,Det oppstod en feil under forsøk på å fjerne stedet.
ServerAddError,Fant ikke stedet.
ServerMgmtSearchingLabel,Søker...
ServerMgmtForgetClusterError,Feil å glemme sted.

#################################################
# Idle Server Form Strings
#################################################

IdleTimeoutTitle,Uvirksom avlogging
IdleTimeoutMessage,Du vil bli logget av stedet/stedene som er oppført nedenfor, hvis det ikke er noen aktivitet før det angitte tidspunktet.
IdleTimeoutSecondsLeft,%1% sekunder


#################################################
# Device Type strings
#################################################

DeviceTypeAvigilon,Avigilon
DeviceTypeAxis,Axis
DeviceTypePanasonic,Panasonic
DeviceTypeArecont,Arecont Vision
DeviceTypeSony,Sony
DeviceTypeSamsung,Samsung
DeviceTypeSanyo,Sanyo
DeviceTypeOnvif,ONVIF
DeviceTypeMobotix,Mobotix
DeviceTypeVideoIq,VideoIQ
DeviceTypeVideoIqRialto,Avigilon Rialto
DeviceTypeLantronix,Lantronix
DeviceTypeActi,ACTi
DeviceTypePelco,Pelco
DeviceTypeIqEye,IQinVision
DeviceTypeMoxa,Moxa
DeviceTypeGenericRtsp,Generic RTSP
DeviceTypeBosch,Bosch
DeviceTypeLocalDigitalIo,Lokal digital I/U

#################################################
# Server/Cluster Management Strings
#################################################

ClusterMgmtSetupTitle,Administrer sted
ClusterMgmtSetupPageTitle,Stedsadministrasjon
ClusterMgmtSetupPageNameHeader,Navn
ClusterMgmtSetupPageNameIpAddress,IP-adresse
ClusterMgmtSetupPageNameVersion,Versjon
ClusterMgmtSetupPageNameStatus,Status

ClusterMgmtSetupPageStatusReady,Klar
ClusterMgmtSetupPageStatusUpgrading,Oppgraderer...
ClusterMgmtSetupPageStatusJoining,Kobler til...
ClusterMgmtSetupPageStatusHandlingJoin,Opptatt...
ClusterMgmtSetupPageStatusErrorError,Feil
ClusterMgmtSetupPageStatusErrorNotPresent,Ikke tilstede
ClusterMgmtSetupPageStatusErrorIncompatible,Inkompatibel
ClusterMgmtSetupPageStatusErrorLicenseViolation,Lisensovertredelse
ClusterMgmtSetupPageStatusErrorTimedOut,Tidsavbrutt
ClusterMgmtSetupPageStatusErrorFailed,Mislykket
ClusterMgmtSetupPageStatusErrorNetworkError,Nettverksfeil
ClusterMgmtSetupPageStatusErrorJoinError,Tilkoblingsovertredelse
ClusterMgmtSetupPageStatusErrorAccessDenied,Bruker har ikke tillatelse til å bli med i %1% og %2%

ClusterMgmtSetupPageSelectedServerStatus,Status:
ClusterMgmtSetupPageSelectedServerVersion,Versjon:
ClusterMgmtSetupPageSelectedServerAddress,IP-adresse:
ClusterMgmtSetupPageDetachServer,Koble fra...
ClusterMgmtSetupPageMoveServer,Koble til...

ClusterMgmtSetupPageSetParent,Koble til overordnet sted...
ClusterMgmtSetupPageRemoveParent,Koble fra overordnet sted...
ClusterMgmtSetupPageRemoveChild,Koble fra underordnet sted...
ClusterMgmtSetupPageParentSiteNameNone,Ingen

ClusterMgmtSetupServerIncompatibleMerge,Kan ikke slå sammen %1% med sted %2% fordi de er inkompatible.
ClusterMgmtSetupServerMergeWarning,Hvis du legger %1% til %2% blir alle konfigurasjonsdata slått sammen. Alle videoopptak blir tatt vare på. Er du sikker på at du vil fortsette?
ClusterMgmtSetupServerDetachWarning,Er du sikker på at du vil fjerne %1% fra %2%?
ClusterMgmtSiteSetupConfirmSetParent,Tilkobling av %1% til %2% vil aktivere synkronisering av brukeradministrasjonsdata. Fortsette?
ClusterMgmtSiteSetupConfirmRemoveParent,Frakobling av %1% fra %2% vil stoppe synkronisering av brukeradministrasjonsdata. Fortsette?
ClusterMgmtSetupCannotSetParent,Kan ikke koble %1% til %2%.
ClusterMgmtSetupCannotJoinParent,Stedet %1% har et underordnet sted. Den tilkoblende serveren %2% støtter ikke underordnede steder.
ClusterMgmtSetupCannotLeaveParent,Stedet %1% har et underordnet sted. Den forrige serveren %2% kan ikke forlate stedet.
ClusterMgmtSetupCannotJoinClusterMaxSize,Stedsmedlem %1% støtter ikke mer enn %2% servere på et sted.
ClusterMgmtSetupCannotJoinClusterMaxDeviceCount,Stedsmedlem %1% støtter ikke mer enn %2% enheter på et sted.
ClusterMgmtSetupCannotJoinServerSizeLimit,Server %1% kan ikke koble til steder med mer enn %2% servere eller %3% enheter.
ClusterMgmtSiteSetupConfirmRevokeAccess,Frakobling av %1% fra %2% vil deaktivere datasynkronisering. Fortsette?
ClusterMgmtSiteSetupErrorCannotLeaveParent,Kan ikke koble fra overordnet sted.
ClusterMgmtSetupCannotSetParentToItself,Kan ikke koble %1% til seg selv.

ClusterMgmtSetupErrorNotInitialized,Serveren initialiserer og kan ikke flyttes.
