#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Kapat
ApplyButtonText,Uygula
CancelButtonText,İptal et
YesButtonText,Evet
NoButtonText,Hayır
OkButtonText,Tamam
ConnectButtonText,Bağlan
RestoreDefaultsButton,Fabrika Ayarlarına Dön
SaveAsDefaultsButton,Varsayılan Olarak Kaydet
ApplyToDevicesButton,Kameralara Uygula...
RestoreFactorySettingsButton,Varsayılan Fabrika Ayarlarını Geri Yükle
BrowseButtonText,Göz at...

HourSuffix,saat
MinuteSuffix,dak
SecondSuffix,sn

ByteSuffix,B
BitsPerSecondSuffix,bps

WizardNextText,İleri
WizardPreviousText,Geri
WizardFinishText,Bitir

UnknownText,Bilinmiyor
NotApplicableText,Yok
UnnamedDeviceString,(adlandırılmamış kamera)
ImagePanelNoLocationText,(belirtilmemiş konum)

ChangeTypeAdd,Ekle
ChangeTypeUpdate,Güncelle
ChangeTypeDelete,Sil
ChangeTypeAll,Tümü

ProtectedString,korunmuş
UnProtectedString,korunmamış

#################################################
# Start Program strings
#################################################

ClientAlreadyRunningMsg,Avigilon Kontrol Merkezi Arayüzü zaten çalışıyor.
VirtualMatrixAlreadyRunningMsg,Avigilon Kontrol Merkezi Sanal Matrisi zaten çalışıyor.
InvalidResourceFileError,Sistem kaynaklarını yüklerken bir hata meydana geldi.  Please contact your system administrator.
InvalidVideoCardError,Video hızlandırma devre dışı bırakıldı ve cevaplanabilirlik azaltılabilir.\n\nVideo kartınızın Kontrol Merkezi Arayüzü tarafından desteklendiğinden ve Ekranın Gelişmiş ayarlarındaki Donanım Hızlandırma'nın etkinleştirilmiş olduğundan emin olun.
